Customer_ID,Assigned_Warehouse_ID,Demand,DistanceKM,Cost
1,24,861.0,236.689599475084,203789.74514804734
2,17,758.0,1433.5244303423915,1086611.5181995328
3,14,541.0,120.3529608529708,65110.9518214572
4,24,707.0,508.3105654285266,359375.5697579683
5,36,868.0,709.1569914029914,615548.2685377965
6,34,424.0,318.53219449779266,135057.6504670641
7,42,615.0,788.8263308904507,485128.19349762716
8,3,115.0,133.45229085316714,15347.013448114221
9,26,891.0,115.68264910985144,103073.24035687764
10,16,435.0,157.00677771705188,68297.94830691756
11,9,858.0,328.90170730104757,282197.66486429883
12,42,357.0,443.84637033101626,158453.1542081728
13,3,596.0,275.10090085641497,163960.13691042332
14,9,995.0,320.8024152272835,319198.4031511471
15,40,259.0,264.69847395329293,68556.90475390287
16,45,574.0,544.0784143552578,312301.009839918
17,26,951.0,117.20188898085492,111458.99642079303
18,24,763.0,434.32287610140855,331388.3544653747
19,37,789.0,280.15054957612506,221038.78361556266
20,11,774.0,120.56198276602676,93314.97466090471
21,19,479.0,824.4731989356975,394922.6622901991
22,31,644.0,234.66735161929512,151125.77444282605
23,38,790.0,682.1784636737453,538920.9863022588
24,31,526.0,212.43088063788144,111738.64321552563
25,6,712.0,159.63267871941267,113658.46724822182
26,46,367.0,68.9433596121029,25302.212977641764
27,22,934.0,1132.133459433465,1057412.6511108563
28,21,676.0,195.1593914082275,131927.74859196178
29,25,516.0,251.34584698467475,129694.45704409217
30,2,267.0,216.9123357227013,57915.59363796125
31,27,941.0,165.345764304194,155590.36421024657
32,24,142.0,271.0189366711443,38484.689007302484
33,46,655.0,1335.799487460353,874948.6642865313
34,12,384.0,321.48962378295295,123452.01553265392
35,34,496.0,182.9706461225024,90753.44047676118
36,16,111.0,210.87284294615867,23406.88556702361
37,9,706.0,134.29255865432825,94810.54640995574
38,46,401.0,355.21168684995695,142439.88642683273
39,46,997.0,287.912468965605,287048.7315587082
40,10,352.0,416.4506371876247,146590.6242900439
41,16,598.0,219.69549554034472,131377.90633312616
42,7,853.0,233.62544239487215,199282.50236282594
43,34,134.0,138.62265138557083,18575.435285666492
44,2,826.0,179.41343257380217,148195.4953059606
45,29,948.0,90.56768898462344,85858.16915742302
46,17,189.0,91.83257821958802,17356.357283502133
47,47,875.0,83.24285879166266,72837.50144270483
48,31,704.0,400.484744343944,281941.2600181366
49,10,701.0,539.7382123591686,378356.4868637772
50,44,517.0,190.5603985865665,98519.72606925487
51,34,214.0,381.5307380378064,81647.57794009056
52,9,716.0,93.35125282963077,66839.49702601563
53,16,295.0,224.23940338066188,66150.62399729526
54,16,925.0,48.908482900450885,45240.34668291707
55,44,600.0,228.21470190431376,136928.82114258825
56,39,725.0,553.7991235695388,401504.3645879156
57,6,592.0,384.56982034499305,227665.33364423589
58,16,174.0,206.86563201291133,35994.619970246575
59,46,512.0,554.7077991136049,284010.3931461657
60,43,475.0,147.36091404490944,69996.43417133199
61,22,519.0,273.6763640384699,142038.03293596586
62,48,828.0,74.4780148080862,61667.79626109538
63,49,376.0,366.7849903403404,137911.15636796798
64,9,860.0,130.48844365350178,112220.06154201152
65,20,775.0,172.85147348503892,133959.89195090518
66,39,493.0,175.79424514797518,86666.56285795177
67,37,968.0,193.054558758559,186876.81287828513
68,14,556.0,314.5198536343226,174873.03862068336
69,8,291.0,275.15252904966,80069.38595345107
70,9,838.0,381.1132247573977,319372.88234669925
71,8,788.0,168.85190552194626,133055.30155129367
72,46,198.0,180.52915444497327,35744.772580104705
73,42,647.0,162.48523568861324,105127.94749053277
74,38,195.0,86.11016886091281,16791.482927877998
75,30,763.0,934.5056815203012,713027.8349999898
76,20,762.0,129.68742282345977,98821.81619147635
77,37,289.0,137.84900413649103,39838.36219544591
78,12,835.0,820.4357443467084,685063.8465295015
79,47,136.0,364.50274336023136,49572.37309699147
80,36,879.0,342.11305544383373,300717.37573512987
81,10,468.0,304.0507614799067,142295.75637259634
82,36,794.0,100.01454194686322,79411.54630580939
83,18,624.0,158.67598132242728,99013.81234519462
84,49,378.0,76.58125708029948,28947.715176353202
85,23,316.0,590.8701889306216,186714.9797020764
86,23,966.0,261.0302278326126,252155.20008630375
87,9,972.0,270.0002834229072,262440.27548706584
88,24,897.0,237.99181013549537,213478.65369153934
89,43,372.0,220.30133946994303,81952.09828281881
90,46,980.0,74.29887672467576,72812.89919018224
91,50,161.0,41.09305579086151,6615.981982328703
92,35,695.0,530.7994057879971,368905.587022658
93,10,979.0,710.0152113416264,695104.8919034522
94,34,828.0,331.9205662874605,274830.2288860173
95,41,441.0,1272.2444077105313,561059.7838003443
96,11,496.0,39.463915676038305,19574.102175314998
97,2,798.0,470.6546312015342,375582.39569882426
98,42,118.0,308.1532937811634,36362.08866617728
99,34,276.0,66.32375549290374,18305.356516041433
100,35,711.0,185.1899453472793,131670.05114191558
